P_CBPID,P_AUID,P_Samkey,P_HHID
677427675,2039593797,2330001127594,2039593797
677427700,173692076,2330000517185,173692076
677427732,2033679416,2330000310002,2033679416
677427739,173692076,2330000517185,173692076
677427740,173692076,2330000517185,173692076
677427899,2039434355,2330001123044,2039434355
677427936,173872410,2330000198939,173872410
677427979,174823435,2330000184048,174823435
677428067,172833195,2330000537189,172833195
677428075,173209249,2330000105876,173209249
677428109,176597484,2330000696730,176597484
677428149,2044872947,2330001157648,2044872947
677428157,2008473031,2330000725935,2008473031
677428235,173692076,2330000517185,173692076
677428238,2042783355,2330001173961,2042783355
677428243,175090801,2330000586228,175090801
677428408,174076554,2330000148783,174076554
677428451,173692076,2330000517185,173692076
677428539,2042565442,2330001140210,2042565442
677428666,173692076,2330000517185,173692076
677428837,173692076,2330000517185,173692076




